8.8716, 1.0018e-46
9.0464, 1.2168e-46
9.2164, 1.0914e-46
9.3631, 9.4917e-47
9.4991, 8.8977e-47
9.7218, 7.4458e-47
9.9745, 6.0744e-47
10.159, 5.3571e-47
10.341, 4.7746e-47
10.474, 4.3788e-47
10.737, 3.6723e-47
11.117, 2.9668e-47
11.434, 2.5760e-47
11.724, 2.2842e-47
12.187, 1.8746e-47
12.649, 1.5355e-47
13.032, 1.3566e-47
13.426, 1.2003e-47
13.695, 1.1328e-47
14.179, 9.8689e-48
14.976, 8.1937e-48
15.621, 7.0621e-48
16.214, 6.3036e-48
17.176, 5.3682e-48
18.266, 4.5080e-48
19.149, 4.0058e-48
19.974, 3.6303e-48
21.519, 3.1751e-48
23.531, 2.8213e-48
24.853, 2.5844e-48
26.248, 2.3952e-48
27.042, 2.3538e-48
28.774, 2.1842e-48
31.542, 2.0104e-48
33.313, 1.9536e-48
35.184, 1.9057e-48
36.610, 1.8927e-48
39.835, 1.9412e-48
43.994, 1.9259e-48
46.465, 1.9272e-48
49.073, 1.9694e-48
51.062, 1.9966e-48
55.837, 2.1102e-48
61.362, 2.2270e-48
64.807, 2.2862e-48
68.446, 2.3909e-48
71.043, 2.4534e-48
76.919, 2.6124e-48
84.320, 2.8297e-48
89.055, 2.9548e-48
94.055, 3.0884e-48
97.382, 3.1694e-48
105.70, 3.3929e-48
116.44, 3.6528e-48
122.98, 3.8071e-48
129.89, 4.0064e-48
134.48, 4.1329e-48
144.52, 4.4243e-48
158.43, 4.8595e-48
167.16, 5.0879e-48
177.07, 5.3807e-48
182.97, 5.5649e-48
196.63, 5.9176e-48
216.63, 6.4506e-48
228.79, 6.7619e-48
241.64, 7.0824e-48
250.18, 7.2695e-48
268.20, 7.8511e-48
294.74, 8.6744e-48
311.28, 9.2011e-48
328.76, 9.7157e-48
339.55, 1.0044e-47
363.09, 1.0977e-47
399.02, 1.1950e-47
421.42, 1.2630e-47
445.08, 1.3255e-47
459.69, 1.3585e-47
495.24, 1.4699e-47
542.89, 1.6235e-47
573.37, 1.7088e-47
605.56, 1.7899e-47
626.99, 1.8522e-47
673.80, 1.9854e-47
734.98, 2.1704e-47
776.24, 2.2792e-47
820.23, 2.4019e-47
850.94, 2.4795e-47
919.02, 2.6667e-47
1010.0, 2.9342e-47
1066.7, 3.1001e-47
1126.6, 3.2790e-47
1163.5, 3.3520e-47
1247.3, 3.6173e-47
1367.3, 4.0011e-47
1444.1, 4.2013e-47
1525.2, 4.4392e-47
1579.1, 4.6137e-47
1688.6, 4.9076e-47
1860.3, 5.4388e-47
1964.8, 5.7181e-47
2075.1, 6.0639e-47
2137.8, 6.2308e-47
2308.9, 6.7104e-47
2531.1, 7.4434e-47
2673.2, 7.8350e-47
2823.3, 8.3099e-47
2915.9, 8.5177e-47
3125.8, 9.1794e-47
3409.6, 1.0057e-46
3595.7, 1.0542e-46
3793.8, 1.1097e-46
3947.6, 1.1459e-46
4247.6, 1.2616e-46
4662.1, 1.4001e-46
4923.9, 1.4778e-46
5200.3, 1.5518e-46
5370.9, 1.6031e-46
5772.0, 1.7262e-46
6311.7, 1.8863e-46
6666.1, 1.9920e-46
7040.3, 2.0834e-46
7289.4, 2.1490e-46
7853.1, 2.3284e-46
8587.4, 2.5451e-46
9069.6, 2.6796e-46
9578.8, 2.8452e-46
9917.7, 2.9143e-46
